X,Y,Z,MD,TVD
2179946.852,498969.2706,-6975.166963,14661.33333,9002.166963
2179953.829,498938.7841,-6977.060745,14692.66667,9004.060745
2179960.678,498908.2539,-6978.70153,14724,9005.70153
2179967.678,498877.4108,-6980.242999,14755.66667,9007.242999
2179974.967,498846.6357,-6981.806617,14787.33333,9008.806617
2179982.544,498815.9313,-6983.392248,14819,9010.392248
2179993.966,498770.402,-6985.725057,14866,9012.725057
2180005.312,498724.8503,-6987.984128,14913,9014.984128
2180016.793,498678.8135,-6990.190633,14960.5,9017.190633
2180028.374,498632.7984,-6992.318462,15008,9019.318462
2180039.86,498587.2746,-6994.436182,15055,9021.436182
2180051.297,498541.7435,-6996.656331,15102,9023.656331
2180059.045,498511.0824,-6998.249256,15133.66667,9025.249256
2180066.914,498480.4585,-6999.967298,15165.33333,9026.967298
2180074.902,498449.8728,-7001.810405,15197,9028.810405
2180083.038,498419.3274,-7003.673762,15228.66667,9030.673762
2180091.351,498388.8247,-7005.452542,15260.33333,9032.452542
2180099.841,498358.3659,-7007.146675,15292,9034.146675
2180107.536,498330.7867,-7008.516232,15320.66667,9035.516232
2180115.089,498303.1571,-7009.634211,15349.33333,9036.634211
2180122.5,498275.4798,-7010.500493,15378,9037.500493
2180128.185,498253.4633,-7011.17998,15400.75,9038.17998
2180133.59,498231.3826,-7012.043156,15423.5,9039.043156
2180138.713,498209.2429,-7013.089828,15446.25,9040.089828
2180143.553,498187.049,-7014.31976,15469,9041.31976
2180153.067,498141.6169,-7017.05119,15515.5,9044.05119
2180162.402,498096.1512,-7019.843381,15562,9046.843381
2180171.712,498050.1738,-7022.708571,15609,9049.708571
2180180.954,498004.1842,-7025.598323,15656,9052.598323
2180187.172,497973.1897,-7027.429457,15687.66667,9054.429457
2180193.421,497942.1874,-7029.012244,15719.33333,9056.012244
2180199.699,497911.1794,-7030.346587,15751,9057.346587
2180209.132,497865.1727,-7032.13443,15798,9059.13443
2180218.754,497819.2044,-7033.905878,15845,9060.905878
2180228.395,497773.2439,-7035.771586,15892,9062.771586
2180237.887,497727.2609,-7037.842191,15939,9064.842191
2180247.418,497681.2888,-7039.970171,15986,9066.970171
2180257.178,497635.3607,-7042.008006,16033,9069.008006
2180266.928,497589.4302,-7044.039697,16080,9071.039697
2180276.429,497543.4511,-7046.149243,16127,9073.149243
2180282.729,497513.1331,-7047.579866,16158,9074.579866
2180289.259,497482.8652,-7049.037555,16189,9076.037555
2180296.02,497452.6493,-7050.522224,16220,9077.522224
2180306.406,497406.8705,-7052.812021,16267,9079.812021
2180316.715,497361.0763,-7055.138686,16314,9082.138686
2180323.686,497330.5686,-7056.680293,16345.33333,9083.680293
2180330.901,497300.1157,-7058.17825,16376.66667,9085.17825
2180338.362,497269.7197,-7059.632456,16408,9086.632456
2180349.788,497223.6678,-7061.803768,16455.5,9088.803768
2180361.078,497177.5823,-7063.97508,16503,9090.97508
2180368.489,497147.1677,-7065.283538,16534.33333,9092.283538
2180375.919,497116.7479,-7066.34426,16565.66667,9093.34426
2180383.366,497086.3248,-7067.15718,16597,9094.15718
2180394.693,497040.21,-7068.241045,16644.5,9095.241045
2180406.068,496994.1088,-7069.403646,16692,9096.403646
2180417.321,496948.4934,-7070.592961,16739,9097.592961
2180428.522,496902.8652,-7071.782276,16786,9098.782276
2180439.743,496856.7277,-7072.990463,16833.5,9099.990463
2180450.82,496810.5554,-7074.211082,16881,9101.211082
2180461.748,496764.8612,-7075.404498,16928,9102.404498
2180472.756,496719.1851,-7076.556912,16975,9103.556912
2180483.97,496673.0446,-7077.721586,17022.5,9104.721586
2180495.28,496626.9287,-7078.927699,17070,9105.927699
2180506.459,496581.2957,-7080.141617,17117,9107.141617
2180517.518,496535.6337,-7081.355536,17164,9108.355536
2180528.578,496489.9713,-7082.555104,17211,9109.555104
2180539.757,496444.3373,-7083.725971,17258,9110.725971
2180551.119,496398.2346,-7084.946585,17305.5,9111.946585
2180562.489,496352.1365,-7086.270791,17353,9113.270791
